feature,importance
num__temp,0.3533074267773738
num__atemp,0.15075504517956598
cat__yr_0,0.14246792113178133
cat__yr_1,0.137893507278324
num__hum,0.05846865821843113
cat__season_4,0.0361359194721667
num__windspeed,0.0309750803855484
cat__season_1,0.021813285221474056
cat__weathersit_3,0.01088916286865507
cat__weathersit_1,0.005201673677393902
cat__mnth_9,0.004564645727449085
cat__weekday_0,0.004444370089707222
cat__weekday_6,0.0034936108395042698
cat__mnth_4,0.003404561952106328
cat__mnth_10,0.0033987482357284524
cat__weathersit_2,0.0033592726690864394
cat__workingday_0,0.0026753089810501642
cat__mnth_12,0.0025404654926790764
cat__workingday_1,0.0024353874616523346
cat__mnth_2,0.0021585238242335853
cat__weekday_4,0.0021161798196142325
cat__weekday_1,0.0018111440323901257
cat__mnth_1,0.0016979389676373224
cat__season_2,0.0016664387098636719
cat__weekday_2,0.0016236557578580683
cat__weekday_3,0.001490903129351792
cat__holiday_1,0.0012979841704348588
cat__mnth_6,0.001248188799229065
cat__mnth_5,0.0012405147057378534
cat__holiday_0,0.001209179030948813
cat__mnth_3,0.0011977276568176873
cat__weekday_5,0.0010443079198030204
cat__mnth_8,0.0006049198822091336
cat__mnth_11,0.0005842713477926221
cat__season_3,0.0004180302528830069
cat__mnth_7,0.000366040333517427
