model,mae,r2
GradientBoosting,442.9029152541212,0.8967560549593239
RandomForest,442.9862585034014,0.8831279269917751
Ridge,579.7015860985279,0.8415245779155591
KNN(k=25),713.3131972789115,0.803715653479998
